"id" "technique" "technique_name" "algorithm" "blackbox" "evaluatedActions" "elapsedSeconds" "covered_lines" "total_lines" "covered_branches" "total_branches" "coverage_branch" "faults"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "31" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "31" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100006" "28" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "27" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100006" "26" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "25" "257" "416" "75" "90" "833" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "27" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "25" "249" "416" "73" "90" "811" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "25" "257" "416" "75" "90" "833" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "25" "275" "416" "80" "97" "824" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "25" "249" "416" "73" "90" "811" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "25" "249" "416" "73" "90" "811" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100004" "26" "296" "416" "79" "99" "797" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "25" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "27" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "25" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "26" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100004" "26" "257" "416" "75" "90" "833" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100006" "26" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100008" "26" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "26" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100005" "26" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "27" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100004" "26" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100001" "25" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "25" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "25" "241" "416" "70" "88" "795" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100000" "25" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100003" "26" "249" "416" "73" "90" "811" "6"
"ncs-js" "evomaster" "evo-bb-ft" "Random" "true" "100002" "26" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "645641" "240" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "636677" "240" "326" "416" "87" "106" "820" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "654460" "240" "326" "416" "87" "106" "820" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "647903" "240" "300" "416" "85" "104" "817" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "651445" "240" "281" "416" "84" "100" "840" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "657437" "240" "326" "416" "87" "106" "820" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "657095" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "664273" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "665527" "240" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "689198" "240" "275" "416" "80" "97" "824" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "668295" "240" "289" "416" "85" "101" "841" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "660133" "240" "326" "416" "87" "106" "820" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "667285" "240" "338" "416" "89" "106" "839" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "673686" "240" "273" "416" "79" "97" "814" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "677531" "240" "281" "416" "84" "100" "840" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "670882" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "673327" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "663235" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "608685" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "746611" "240" "289" "416" "85" "101" "841" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "623801" "240" "283" "416" "83" "99" "838" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "614215" "240" "292" "416" "88" "104" "846" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "644766" "240" "342" "416" "92" "112" "821" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "611037" "240" "317" "416" "88" "106" "830" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "606332" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "655103" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "607961" "240" "281" "416" "82" "99" "828" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "614425" "240" "281" "416" "86" "101" "851" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "650825" "240" "283" "416" "83" "99" "838" "6"
"ncs-js" "evomaster" "evo-bb-tb" "Random" "true" "609532" "240" "334" "416" "90" "108" "833" "6"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3256" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3291" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3246" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3606" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3796" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3761" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3771" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3761" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3756" "SPECIFIED" "192" "416" "20" "52" "384" "0"
"ncs-js" "RESTler" "restler-tb" "Default" "true" "3701" "SPECIFIED" "192" "416" "20" "52" "384" "0"
